no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
2,0,0,3,Meal Plan 1,0,Room_Type 4,86,2018,4,6,Online,0,0,0,99.3,1,Not_Canceled
2,2,0,1,Meal Plan 1,1,Room_Type 6,2,2018,9,2,Online,0,0,0,258,1,Not_Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 4,19,2018,5,3,Online,0,0,0,120.12,2,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,192,2018,6,24,Offline,0,0,0,95,0,Not_Canceled
3,0,0,2,Meal Plan 1,0,Room_Type 4,12,2019,8,18,Online,0,0,0,230,0,Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,2,2017,9,10,Complementary,0,0,0,0,1,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,86,2018,12,18,Offline,0,0,0,75,0,Not_Canceled
2,0,2,3,Not Selected,0,Room_Type 1,27,2019,1,1,Online,0,0,0,80.24,3,Not_Canceled
3,0,1,3,Meal Plan 1,0,Room_Type 4,77,2019,8,14,Online,0,0,0,200,2,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,30,2018,10,5,Online,0,0,0,157.5,2,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 4,179,2018,6,3,Online,0,0,0,97.7,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 4,26,2018,4,15,Online,0,0,0,142,0,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,105,2019,5,19,Online,0,0,0,160,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,55,2018,4,6,Offline,0,0,0,80,0,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,74,2018,4,25,Online,0,0,0,85.5,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,143,2018,8,25,Offline,0,0,0,100,0,Not_Canceled
2,0,1,0,Not Selected,0,Room_Type 1,34,2018,11,14,Online,0,0,0,88,2,Not_Canceled
2,0,1,1,Meal Plan 1,1,Room_Type 1,30,2018,8,29,Online,0,0,0,122.85,1,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,226,2019,6,16,Online,0,0,0,105,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,177,2018,6,3,Online,0,0,0,100,0,Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 4,34,2017,10,25,Offline,0,0,0,75,0,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 4,150,2019,8,2,Online,0,0,0,139.5,0,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 4,18,2018,3,9,Online,0,0,0,116.8,1,Not_Canceled
3,0,1,1,Meal Plan 1,0,Room_Type 4,267,2018,12,31,Online,0,0,0,121.5,0,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,64,2018,6,27,Online,0,0,0,111.9,1,Not_Canceled
3,0,2,5,Meal Plan 1,0,Room_Type 4,155,2018,6,28,Online,0,0,0,121.55,2,Canceled
2,0,0,5,Meal Plan 1,0,Room_Type 1,46,2018,3,29,Offline,0,0,0,75,1,Not_Canceled
2,2,0,2,Meal Plan 1,0,Room_Type 6,83,2018,4,1,Online,0,0,0,159.3,0,Canceled
2,0,0,5,Meal Plan 1,0,Room_Type 4,128,2018,10,11,Online,0,0,0,132.3,0,Canceled
2,0,2,4,Not Selected,0,Room_Type 1,307,2019,8,16,Online,0,0,0,95.1,1,Canceled
2,0,2,0,Not Selected,0,Room_Type 1,20,2018,12,25,Online,0,0,0,88,2,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 4,118,2019,4,30,Online,0,0,0,137.25,1,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,120,2019,5,5,Online,0,0,0,126,3,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 4,40,2018,3,14,Online,0,0,0,98.82,0,Not_Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 1,11,2019,1,23,Online,0,0,0,82.62,2,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 1,68,2019,3,29,Offline,0,0,0,78.84,0,Not_Canceled
1,0,2,0,Meal Plan 1,0,Room_Type 1,17,2019,5,28,Complementary,1,0,3,0,1,Not_Canceled
2,0,1,2,Meal Plan 1,1,Room_Type 4,46,2018,3,4,Online,0,0,0,98.3,1,Not_Canceled
1,0,2,6,Meal Plan 1,0,Room_Type 1,182,2019,3,11,Corporate,0,0,0,80,0,Not_Canceled
1,0,1,0,Meal Plan 1,0,Room_Type 1,1,2018,10,17,Online,0,0,0,150,2,Not_Canceled
2,0,2,3,Not Selected,0,Room_Type 1,196,2018,9,4,Online,0,0,0,96.05,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,169,2019,6,8,Online,0,0,0,170,0,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,188,2018,6,15,Online,0,0,0,130,0,Canceled
2,0,0,1,Not Selected,0,Room_Type 1,17,2018,12,10,Online,1,0,5,95,0,Not_Canceled
2,0,2,2,Meal Plan 2,0,Room_Type 1,67,2019,3,31,Online,0,0,0,146.2,2,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 5,146,2018,8,9,Offline,0,0,0,113.56,0,Not_Canceled
2,0,1,3,Not Selected,0,Room_Type 1,110,2018,5,5,Online,0,0,0,101.58,1,Not_Canceled
2,0,1,2,Meal Plan 1,1,Room_Type 1,68,2018,3,18,Online,0,0,0,105.3,0,Not_Canceled
2,2,0,3,Meal Plan 1,0,Room_Type 6,89,2019,8,16,Online,0,0,0,240,1,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 4,73,2018,4,9,Online,0,0,0,115.8,1,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 4,92,2018,5,19,Online,0,0,0,149.4,1,Not_Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 1,171,2018,8,30,Online,0,0,0,111.59,0,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,227,2019,5,25,Online,0,0,0,125.1,0,Canceled
2,1,0,2,Meal Plan 1,1,Room_Type 1,134,2018,8,4,Online,0,0,0,130.5,2,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,320,2018,8,18,Online,0,0,0,115,1,Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,118,2018,4,13,Online,0,0,0,90.95,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,30,2018,11,17,Online,0,0,0,76.08,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,405,2019,7,4,Online,0,0,0,80,0,Canceled
2,2,1,3,Meal Plan 1,0,Room_Type 6,30,2018,12,22,Online,0,0,0,156.9,0,Not_Canceled
2,2,1,0,Meal Plan 1,0,Room_Type 6,155,2019,8,21,Online,0,0,0,235,0,Canceled
2,0,1,0,Not Selected,0,Room_Type 1,189,2018,10,23,Online,0,0,0,85.5,2,Not_Canceled
3,0,1,2,Meal Plan 1,0,Room_Type 4,55,2018,5,13,Online,0,0,0,159.3,2,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,91,2019,5,11,Online,0,0,0,98.1,0,Canceled
1,0,0,4,Meal Plan 1,0,Room_Type 1,55,2018,12,13,Online,0,0,0,74.8,2,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,16,2017,10,31,Online,0,0,0,95,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,24,2017,10,8,Online,0,0,0,107,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,8,2018,2,16,Offline,0,0,0,64,0,Not_Canceled
2,0,3,8,Meal Plan 1,0,Room_Type 4,139,2019,8,24,Online,0,0,0,117.41,0,Canceled
2,0,1,4,Meal Plan 1,1,Room_Type 1,10,2017,11,2,Online,0,0,0,82.95,0,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 4,0,2017,9,21,Online,0,0,0,155,1,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,12,2018,6,30,Online,0,0,0,101.68,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,95,2019,4,20,Online,0,0,0,136.8,0,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,32,2017,9,5,Online,0,0,0,94.5,3,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,182,2018,9,30,Online,0,0,0,117.9,2,Canceled
2,0,1,0,Not Selected,0,Room_Type 1,1,2018,6,27,Online,0,0,0,127,1,Not_Canceled
2,0,0,3,Not Selected,0,Room_Type 1,122,2018,6,16,Online,0,0,0,116.1,2,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,40,2018,6,30,Online,0,0,0,117.9,1,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,282,2019,7,5,Online,0,0,0,141.3,1,Canceled
2,2,2,2,Meal Plan 1,0,Room_Type 2,116,2018,6,26,Online,0,0,0,184.24,1,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,85,2019,5,28,Offline,0,0,0,89.1,1,Not_Canceled
3,0,2,2,Meal Plan 1,1,Room_Type 4,123,2018,8,13,Online,0,0,0,155.7,1,Not_Canceled
3,0,2,5,Meal Plan 1,0,Room_Type 4,40,2018,4,22,Online,0,0,0,135.76,0,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,278,2019,3,25,Online,0,0,0,90,0,Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,13,2019,8,8,Corporate,0,0,0,65,2,Not_Canceled
2,1,2,5,Meal Plan 1,0,Room_Type 1,105,2018,11,12,Online,0,0,0,102.83,3,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,443,2018,4,29,Online,0,0,0,65,0,Canceled
1,0,0,1,Meal Plan 1,1,Room_Type 1,14,2019,8,31,Corporate,1,0,3,67,2,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,2,2017,11,14,Online,0,0,0,103,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,168,2019,6,7,Online,0,0,0,110,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,317,2018,9,1,Online,0,0,0,106.2,1,Canceled
2,0,0,2,Not Selected,0,Room_Type 1,16,2019,6,1,Online,0,0,0,130,1,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,286,2018,9,16,Offline,0,0,0,58.5,0,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,68,2018,3,10,Online,0,0,0,73.95,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,148,2018,5,5,Online,0,0,0,105.3,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,8,2019,5,2,Online,0,0,0,180,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,189,2019,4,25,Online,0,0,0,90.09,1,Canceled
2,0,1,3,Not Selected,0,Room_Type 1,98,2019,8,21,Online,0,0,0,125,2,Canceled
3,0,2,0,Meal Plan 1,0,Room_Type 4,68,2018,4,24,Online,0,0,0,133.2,2,Not_Canceled
0,2,0,1,Not Selected,0,Room_Type 1,28,2019,6,13,Online,0,0,0,109,2,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,30,2018,3,30,Offline,0,0,0,85.5,0,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,457,2019,8,25,Online,0,0,0,122.4,1,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,286,2019,3,4,Online,0,0,0,63.06,1,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,100,2019,4,22,Online,0,0,0,105,0,Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,14,2018,11,3,Online,0,0,0,112,1,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,5,2019,1,10,Corporate,1,3,24,65,0,Not_Canceled
2,2,0,2,Meal Plan 1,0,Room_Type 6,110,2018,10,14,Online,0,0,0,190.8,0,Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 4,139,2019,7,3,Online,0,0,0,116.1,0,Not_Canceled
1,0,2,3,Meal Plan 1,0,Room_Type 1,117,2018,6,5,Offline,0,0,0,110,0,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 4,85,2018,7,13,Online,0,0,0,91.48,1,Not_Canceled
2,0,0,2,Not Selected,0,Room_Type 1,1,2018,10,20,Online,0,0,0,135,2,Not_Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 1,25,2018,10,17,Online,0,0,0,129,2,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 4,110,2019,4,26,Online,0,0,0,158.95,0,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,45,2019,2,12,Online,0,0,0,73.46,1,Not_Canceled
2,0,2,4,Not Selected,0,Room_Type 1,289,2018,12,28,Online,0,0,0,70.55,2,Canceled
2,0,2,2,Not Selected,0,Room_Type 1,132,2019,6,30,Online,0,0,0,91.58,1,Not_Canceled
3,0,2,0,Meal Plan 1,0,Room_Type 4,116,2019,4,9,Online,0,0,0,166.5,3,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,123,2019,4,24,Online,0,0,0,123.75,1,Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 4,28,2017,10,19,Offline,0,0,0,75,0,Not_Canceled
1,0,0,4,Not Selected,0,Room_Type 1,80,2018,3,29,Online,0,0,0,72.25,0,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,359,2019,1,15,Online,0,0,0,77.35,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 4,11,2017,10,9,Online,0,0,0,155,2,Not_Canceled
2,1,1,0,Meal Plan 1,0,Room_Type 1,162,2018,7,25,Online,0,0,0,121.5,2,Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 1,155,2018,6,28,Online,0,0,0,90.95,2,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,111,2019,4,27,Online,0,0,0,120,0,Canceled
1,0,2,2,Meal Plan 1,0,Room_Type 1,82,2018,5,22,Online,0,0,0,109.65,0,Not_Canceled
3,0,2,4,Meal Plan 1,0,Room_Type 4,27,2018,4,15,Online,0,0,0,142.72,0,Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 1,13,2018,5,9,Offline,0,0,0,90,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,245,2018,6,17,Online,0,0,0,75,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,11,2018,11,18,Online,0,0,0,111,1,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,266,2018,10,30,Online,0,0,0,86.7,2,Not_Canceled
2,0,1,1,Not Selected,0,Room_Type 1,10,2019,5,13,Online,0,0,0,150,2,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 4,11,2019,6,11,Online,0,0,0,150,1,Not_Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 1,39,2018,3,28,Online,0,0,0,117.9,1,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,13,2018,6,1,Complementary,1,3,5,0,1,Not_Canceled
2,0,0,4,Not Selected,0,Room_Type 1,112,2018,5,4,Online,0,0,0,101.58,1,Not_Canceled
2,0,0,4,Not Selected,0,Room_Type 1,108,2019,5,3,Online,0,0,0,108,1,Canceled
2,0,0,3,Not Selected,0,Room_Type 1,82,2019,3,8,Online,0,0,0,79.2,2,Not_Canceled
2,0,1,2,Not Selected,0,Room_Type 1,88,2018,4,8,Online,0,0,0,58.9,1,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,56,2018,6,8,Offline,0,0,0,120,0,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,5,2019,7,3,Online,0,0,0,159,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,175,2019,6,9,Online,0,0,0,130,0,Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,33,2019,4,8,Online,0,0,0,115.4,0,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 4,73,2018,4,7,Online,0,0,0,107.1,0,Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,80,2018,5,2,Online,0,0,0,126.9,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,130,2018,9,29,Online,0,0,0,139.5,2,Canceled
2,0,1,3,Not Selected,0,Room_Type 1,69,2018,4,4,Online,0,0,0,80.75,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,228,2019,6,2,Online,0,0,0,91.51,1,Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,273,2017,7,17,Online,0,0,0,109,0,Canceled
